RECORD,BBLE,B,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,score1,score2,score1 rank,score2 rank,final
19242,1004030001,1,403,1,,PARKS AND RECREATION,Q1,4,687,666,,1,37400000,15480000,16830000,15480000,16830000,2231,144 AVENUE A,10009,X1,15,10,13842000,15048000,13842000,15048000,,FINAL,2010/11,AC-TR,431.37145,131.880048,1070967,1070962,1070964.5
985597,5023590001,5,2359,1,,PARKS AND RECREATION,Q5,4,898,396,,1,433200000,194850000,194940000,194850000,194940000,2231,1001 RICHMOND HILL ROAD,10306,X1,50,80,177977880,178067880,177977880,178067880,,FINAL,2010/11,AC-TR,442.1446176,120.043129,1070969,1070958,1070963.5
932861,4162400101,4,16240,101,,PARKS AND RECREATION,V0,1B,1450,1007,,4,212210578,12732635,12732635,12732635,12732635,2231,BEACH 130 STREET,11694,X1,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,375.7045184,133.9732723,1070961,1070964,1070962.5
915470,4141400100,4,14140,100,,DEPT RE-CITY OF NY,V0,1B,999,999,,4,214450275,12867017,12867017,12867017,12867017,4600,83 STREET,11414,X3,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,378.0094985,132.7499858,1070962,1070963,1070962.5
104411,1014260044,1,1426,44,,"AMTO REALTY, INC.,",D6,2,102,127,,34,90800000,20250000,40860000,0,0,,206 EAST 72 STREET,10021,,18,52,20250000,40257000,,,,FINAL,2010/11,AC-TR,353.3639201,145.0645891,1070958,1070966,1070962
330291,3019190001,3,1919,1,,PRATT INSTITUTE,W3,4,200,698,,4,13500000,1764000,6075000,1764000,6075000,1601,166 WILLOUGHBY AVENUE,11205,X7,6,8,1575000,5445000,1575000,5445000,,FINAL,2010/11,AC-TR,406.8681236,113.3231167,1070965,1070956,1070960.5
771150,4076320002,4,7632,2,,BELL PARK GARDENS,C6,2,1080,827,,2,29100000,5085000,13095000,2941161,2941161,1010,67-02 SPRINGFIELD BLVD,11364,,30,30,5085000,14184000,3069814,3069814,1015,FINAL,2010/11,AC-TR,340.4169167,134.2514952,1070955,1070965,1070960
684563,4036560007,4,3656,7,,FRANK ASARO,V0,1B,2,7,,4,561363.896,14781.26848,14784.1006,0,0,,68 STREET,11385,,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,364.6162072,127.0560006,1070959,1070960,1070959.5
964948,5009050001,5,905,1,,NYS DEPT OF ENVIRONME,Q5,4,1140,1975,,1,40200000,17640000,18090000,17640000,17640000,3390,TODT HILL ROAD,10304,,16,16,16723485,17173485,16723485,16723485,,FINAL,2010/11,AC-TR,400.8794412,110.8703922,1070964,1070954,1070959
610682,4011940050,4,1194,50,,DEBORAH WILSON,V1,4,6,8,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,BROADWAY,11377,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,350.8649049,120.4822949,1070957,1070959,1070958
752488,4067150002,4,6715,2,,PARKWAY VILLAGE EQUIT,C6,2,795,1376,,2,28500000,5265000,12825000,1125528,1125528,1010,81-26 150 STREET,11435,,30,30,5265000,14183000,1138265,1138265,1015,FINAL,2010/11,AC-TR,336.1732312,130.4560878,1070954,1070961,1070957.5
97084,1013730001,1,1373,1,,NYS URBAN DEVELOPMENT,D4,2,200,102,,18,473000000,141300000,212850000,141300000,212850000,2310,40 RIVER ROAD,10044,X4,92.20320358,108.0056987,141597360,224253356,141597360,224253356,,FINAL,2010/11,AC-TR,346.2912598,119.9790477,1070956,1070957,1070956.5
245573,2055830100,2,5583,100,,PARKS AND RECREATION,Q1,4,1500,368,,1,31500000,14175000,14175000,14175000,14175000,2231,BALCOM AVENUE,10465,X1,10,20,13347000,13347000,13347000,13347000,,FINAL,2010/11,AC-TR,367.5238355,107.2518632,1070960,1070952,1070956
60469,1010330001,1,1033,1,,42/9 RESIDENTIAL LLC,D6,2,20,50,,23,43000000,2925000,19350000,1072840,17497840,5116,360 WEST 43 STREET,10036,,200,210,2925000,18512999,1072840,16660839,,FINAL,2010/11,AC-TR,313.4786384,110.8342625,1070952,1070953,1070952.5
691879,4039071425,4,3907,1425,,PARKS AND RECREATION,Q2,4,93.93711924,47,,1,101700000,44550000,45765000,44550000,45765000,2231,UNION TURNPIKE,11421,X1,27,47,42840000,44055000,42840000,44055000,,FINAL,2010/11,AC-TR,305.2119232,111.8813157,1070949,1070955,1070952
720600,4051730006,4,5173,6,,PARKS AND RECREATION,Q1,4,424,380,,1,29639000,12915000,13337550,12915000,13337550,2231,153-19 56 ROAD,11355,X1,20,20,11538000,11915550,11538000,11915550,,FINAL,2010/11,AC-TR,316.3502735,96.02664892,1070953,1070948,1070950.5
934793,4163500400,4,16350,400,,BREEZY POINT COOPERAT,A8,1D,2798,997,,1,273000000,10920000,16380000,768206,1133406,1010,217-02 BREEZY POINT BLVD,11697,,30,40,,,,,1015,FINAL,2010/11,AC-TR,305.5060887,102.2082742,1070950,1070950,1070950
